Player,Team,Date,PTS,REB,AST,MIN,Location,Opponent
LeBron James,LAL,2025-08-28 08:27:09.593077,28.10869404359732,5.492811655295421,4.976782777539304,31.075267365749024,Home,OPP
Anthony Davis,LAL,2025-08-28 08:27:09.593077,40.22010998277703,9.927791273555101,5.7670424885412235,35.24027690384579,Home,OPP
Jayson Tatum,BOS,2025-08-28 08:27:09.593077,19.640812658090564,3.941158260228306,8.420444294962167,39.39102874542927,Home,OPP
Jaylen Brown,BOS,2025-08-28 08:27:09.593077,31.10313363780127,9.199285906834536,7.305019091837179,34.790341332031964,Home,OPP
Stephen Curry,GSW,2025-08-28 08:27:09.593077,24.917742691815047,14.947303651250152,10.869518163556329,32.5521147228523,Home,OPP
Kevin Durant,PHX,2025-08-28 08:27:09.593077,22.557528725795315,4.7710769564732995,6.751877453029762,39.2731917413796,Home,OPP
Nikola Jokic,DEN,2025-08-28 08:27:09.593077,27.86272728233911,6.976659127812264,5.131337650523925,33.1053846155945,Home,OPP
Jimmy Butler,MIA,2025-08-28 08:27:09.593077,23.799732386799736,9.019135167342744,8.025130226336197,28.505542051858413,Home,OPP
Luka Doncic,DAL,2025-08-28 08:27:09.593077,25.59365894018138,3.8532313629532533,-3.0819027535190884,28.381840581137535,Home,OPP
Giannis Antetokounmpo,MIL,2025-08-28 08:27:09.593077,26.291788747732962,11.871325207118446,4.6912735900967455,29.558975473294183,Home,OPP
LeBron James,LAL,2025-08-31 08:27:09.593077,23.324672133541146,5.691218564177157,8.19531293921306,40.71998114183711,Away,OPP
Anthony Davis,LAL,2025-08-31 08:27:09.593077,26.340414180973564,11.560298483988777,6.087821388590877,33.40898901383202,Away,OPP
Jayson Tatum,BOS,2025-08-31 08:27:09.593077,20.761559954846504,4.878799472495963,8.770029038911357,30.22589316045557,Away,OPP
Jaylen Brown,BOS,2025-08-31 08:27:09.593077,15.068871797073955,7.956327660516098,-0.1149117214993769,34.45331981590072,Away,OPP
Stephen Curry,GSW,2025-08-31 08:27:09.593077,40.88488673427325,7.453906140817065,6.261679291189426,26.00039591202112,Away,OPP
Kevin Durant,PHX,2025-08-31 08:27:09.593077,33.653758531200786,11.434798688046495,10.201092613373662,37.8877523942718,Away,OPP
Nikola Jokic,DEN,2025-08-31 08:27:09.593077,23.326245510896822,12.91512693900052,5.483330548146272,33.226417906729466,Away,OPP
Jimmy Butler,MIA,2025-08-31 08:27:09.593077,33.99266812707103,2.542212099778543,8.085729350684419,33.81187228310816,Away,OPP
Luka Doncic,DAL,2025-08-31 08:27:09.593077,26.408436831421458,6.6666246307728105,1.2408236793401617,38.16789426774782,Away,OPP
Giannis Antetokounmpo,MIL,2025-08-31 08:27:09.593077,25.89798585623473,12.761874511738501,8.944929809482407,39.030190146055176,Away,OPP
